Timestamp,Market,Side,Action,Price,Size,Total_Value,PnL,Start_Balance,Current_Balance,BTC_Price,Strike_Price,UP_Bid,UP_Ask,DOWN_Bid,DOWN_Ask,RSI,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_PctB,ATR,Stoch_K,VWAP,MACD,CCI,MFI,ROC,Pivot
2026-01-22 15:47:37,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89178.46,0.0,0.54,0.55,0.45,0.46,31.6404,89518.8934,89140.6096,89329.7515,0.0042,0.1001,32.479,0.0,89340.8087,-38.9676,-73.7128,74.3584,-0.1065,89137.2333
2026-01-22 15:47:46,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89178.45,0.0,0.54,0.55,0.45,0.46,31.6404,89518.8934,89140.6096,89329.7515,0.0042,0.1001,32.479,0.0,89340.8087,-38.9676,-73.7128,74.3584,-0.1065,89137.2333
2026-01-22 15:47:56,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89178.46,0.0,0.55,0.56,0.44,0.45,31.6404,89518.8934,89140.6096,89329.7515,0.0042,0.1001,32.479,0.0,89340.8087,-38.9676,-73.7128,74.3584,-0.1065,89137.2333
2026-01-22 15:48:09,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89208.27,0.0,0.63,0.64,0.36,0.37,33.1689,89482.5091,89161.1349,89321.822,0.0036,0.1467,28.8341,0.0,89340.8087,-32.521,-61.9145,74.3584,-0.06,89137.2333
2026-01-22 15:48:18,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89208.26,0.0,0.67,0.68,0.32,0.33,33.168,89482.5101,89161.1329,89321.8215,0.0036,0.1466,28.8349,0.0,89340.8087,-32.5218,-61.9196,74.3584,-0.06,89137.2333
2026-01-22 15:48:28,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89227.83,0.0,0.72,0.73,0.27,0.28,34.9493,89480.7926,89164.8074,89322.8,0.0035,0.1994,27.437,4.3459,89340.8087,-30.9607,-51.7379,74.3584,-0.0381,89137.2333
2026-01-22 15:48:38,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89253.59,0.0,0.77,0.78,0.22,0.23,34.9493,89480.7926,89164.8074,89322.8,0.0035,0.1994,27.437,4.3459,89340.8087,-30.9607,-51.7379,74.3584,-0.0381,89137.2333
2026-01-22 15:48:48,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89261.92,0.0,0.79,0.8,0.2,0.21,38.5562,89478.8772,89170.1318,89324.5045,0.0035,0.2973,25.002,34.4581,89340.8087,-28.2412,-33.5187,74.3584,0.0001,89137.2333
2026-01-22 15:48:59,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89261.92,0.0,0.8,0.81,0.19,0.2,38.5562,89478.8772,89170.1318,89324.5045,0.0035,0.2973,25.002,34.4581,89340.8087,-28.2412,-33.5187,74.3584,0.0001,89137.2333
2026-01-22 15:49:08,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89257.64,0.0,0.76,0.77,0.23,0.24,37.3884,89465.8469,89173.1151,89319.481,0.0033,0.2887,23.9004,30.6775,89312.6933,-25.1406,-33.4759,77.2497,-0.0047,89137.2333
2026-01-22 15:49:19,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89242.5,0.0,0.72,0.73,0.27,0.28,35.6805,89466.5855,89170.8625,89318.724,0.0033,0.2422,24.9819,17.3041,89312.6933,-26.3484,-42.089,77.2497,-0.0217,89137.2333
2026-01-22 15:49:29,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89232.72,0.0,0.72,0.73,0.27,0.28,33.6922,89467.9702,89167.5218,89317.746,0.0034,0.1845,26.379,0.0265,89312.6933,-27.9087,-53.0393,77.2497,-0.0436,89137.2333
2026-01-22 15:49:39,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89237.6,0.0,0.73,0.74,0.26,0.27,35.1618,89466.8869,89170.0721,89318.4795,0.0033,0.2275,25.3311,12.9847,89312.6933,-26.7385,-44.8468,77.2497,-0.0271,89137.2333
2026-01-22 15:49:51,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89247.39,0.0,0.76,0.77,0.23,0.24,36.2148,89466.3146,89171.6224,89318.9685,0.0033,0.2571,26.0597,18.3798,89294.075,-25.9583,-33.6247,27.0992,-0.0162,89137.2333
2026-01-22 15:50:01,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89247.39,0.0,0.75,0.76,0.24,0.25,36.2148,89466.3146,89171.6224,89318.9685,0.0033,0.2571,26.0597,18.3798,89294.075,-25.9583,-33.6247,27.0992,-0.0162,89137.2333
2026-01-22 15:50:11,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89245.55,89169.42,0.75,0.76,0.24,0.25,36.8764,89453.8502,89176.4658,89315.158,0.0031,0.2557,26.0782,18.3798,89339.8201,-21.8158,-31.992,92.0233,-0.0162,89137.2333
2026-01-22 15:50:21,btc-updown-15m-1769121900,N/A,STATUS,0.0000,0.00,0.00,0.00,100.00,100.00,89252.24,89169.42,0.77,0.78,0.22,0.23,37.3975,89453.6099,89177.1911,89315.4005,0.0031,0.2715,25.7317,22.0212,89339.8201,-21.429,-29.0318,92.0233,-0.0108,89137.2333
